---- Page: "Statistics [Analog]"
---- Chart: electr_3_1_3.ewb
Parameter	Value
Initial TStep	0.00000
Initial TMax	0.00000
Nominal temperature	0.00000
Operating temperature	0.00000
Total iterations	0.00000
Transient iterations	0.00000
Circuit Equations	0.00000
Transient timepoints	0.00000
Accepted timepoints	0.00000
Rejected timepoints	0.00000
Total Analysis Time	0.00000
Transient time	0.00000
matrix reordering time	0.00000
L-U decomposition time	0.00000
Matrix solve time	0.00000
transient L-U decomp time	0.00000
Transient solve time	0.00000
Transient iters per point	0.00000
Load time	0.00000
---- End Chart: electr_3_1_3.ewb
---- End Page: "Statistics [Analog]"

---- Page: "Oscilloscope"
---- Graph: "electr_3_1_3.ewb"
---- Left Axis: LINEAR "Voltage (A)"
1.283109455383e-007	1.500000000000e+000
2.036630077250e-007	1.500000000000e+000
2.896033657388e-007	1.500000000000e+000
3.576043657388e-007	1.499999999917e+000
3.576044657388e-007	1.199999999782e+000
3.576046657388e-007	5.999999998288e-001
3.576050657388e-007	-6.000000000773e-001
3.576053657388e-007	-1.499999999848e+000
3.576054457388e-007	-1.500000000000e+000
3.576056057388e-007	-1.500000000000e+000
3.576059257388e-007	-1.500000000000e+000
3.576065657388e-007	-1.500000000000e+000
3.576078457388e-007	-1.500000000000e+000
3.576104057388e-007	-1.500000000000e+000
3.576155257388e-007	-1.500000000000e+000
3.576257657388e-007	-1.500000000000e+000
3.576462457388e-007	-1.500000000000e+000
3.576872057388e-007	-1.500000000000e+000
3.577691257388e-007	-1.500000000000e+000
3.579329657388e-007	-1.500000000000e+000
3.582606457388e-007	-1.500000000000e+000
3.589160057387e-007	-1.500000000000e+000
3.599072989651e-007	-1.500000000000e+000
3.612753965942e-007	-1.500000000000e+000
3.634600393138e-007	-1.500000000000e+000
3.654550838770e-007	-1.500000000000e+000
3.669267460912e-007	-1.500000000000e+000
3.683907212097e-007	-1.500000000000e+000
3.697159901568e-007	-1.500000000000e+000
3.713592428761e-007	-1.500000000000e+000
3.732209413440e-007	-1.500000000000e+000
3.769443382796e-007	-1.500000000000e+000
3.820970602647e-007	-1.500000000000e+000
3.924025042349e-007	-1.500000000000e+000
4.113017910644e-007	-1.500000000000e+000
4.228618959069e-007	-1.500000000000e+000
4.900874274668e-007	-1.500000000000e+000
5.476044268994e-007	-1.500000000000e+000
6.836044268994e-007	-1.500000000000e+000
6.836045268994e-007	-1.200000000182e+000
6.836047268994e-007	-5.999999999116e-001
6.836051268994e-007	5.999999999944e-001
6.836054268994e-007	1.500000000000e+000
6.836055068994e-007	1.500000000000e+000
6.836056668994e-007	1.500000000000e+000
6.836059868994e-007	1.500000000000e+000
6.836066268994e-007	1.500000000000e+000
6.836079068994e-007	1.500000000000e+000
6.836104668994e-007	1.500000000000e+000
6.836155868994e-007	1.500000000000e+000
6.836258268994e-007	1.500000000000e+000
6.836463068994e-007	1.500000000000e+000
6.836872668994e-007	1.500000000000e+000
6.837691868994e-007	1.500000000000e+000
6.839330268994e-007	1.500000000000e+000
6.842607068994e-007	1.500000000000e+000
6.845999325971e-007	1.500000000000e+000
6.850756640625e-007	1.500000000000e+000
6.859301201723e-007	1.500000000000e+000
6.876390323919e-007	1.500000000000e+000
6.898749577772e-007	1.500000000000e+000
6.909558508979e-007	1.500000000000e+000
6.962546058853e-007	1.500000000000e+000
7.020299699125e-007	1.500000000000e+000
7.098589482513e-007	1.500000000000e+000
7.182533586342e-007	1.500000000000e+000
7.331165752779e-007	1.500000000000e+000
7.485130555720e-007	1.500000000000e+000
7.793060161604e-007	1.500000000000e+000
8.081900432742e-007	1.500000000000e+000
8.402731829988e-007	1.500000000000e+000
9.432103952340e-007	1.500000000000e+000
1.100672199398e-006	1.500000000000e+000
1.147211395234e-006	1.500000000000e+000
1.147211495234e-006	1.200000000417e+000
1.147211695234e-006	6.000000001464e-001
1.147212095234e-006	-5.999999997597e-001
1.147212395234e-006	-1.499999999848e+000
1.147212475234e-006	-1.500000000000e+000
1.147212635234e-006	-1.500000000000e+000
1.147212955234e-006	-1.500000000000e+000
1.147213595234e-006	-1.500000000000e+000
1.147214875234e-006	-1.500000000000e+000
1.147217435234e-006	-1.500000000000e+000
1.147222555234e-006	-1.500000000000e+000
1.147232795234e-006	-1.500000000000e+000
1.147253275234e-006	-1.500000000000e+000
1.147294235234e-006	-1.500000000000e+000
1.147376155234e-006	-1.500000000000e+000
1.147539995234e-006	-1.500000000000e+000
1.147867675234e-006	-1.500000000000e+000
1.148523035234e-006	-1.500000000000e+000
1.149515928116e-006	-1.500000000000e+000
1.150885481105e-006	-1.500000000000e+000
1.153073377212e-006	-1.500000000000e+000
1.155067345864e-006	-1.500000000000e+000
1.156535713324e-006	-1.500000000000e+000
1.157996290779e-006	-1.500000000000e+000
