---- Page: "Statistics [Analog]"
---- Chart: electr_3_2_3.ewb
Parameter	Value
Initial TStep	0.00000
Initial TMax	0.00000
Nominal temperature	0.00000
Operating temperature	0.00000
Total iterations	0.00000
Transient iterations	0.00000
Circuit Equations	0.00000
Transient timepoints	0.00000
Accepted timepoints	0.00000
Rejected timepoints	0.00000
Total Analysis Time	0.00000
Transient time	0.00000
matrix reordering time	0.00000
L-U decomposition time	0.00000
Matrix solve time	0.00000
transient L-U decomp time	0.00000
Transient solve time	0.00000
Transient iters per point	0.00000
Load time	0.00000
---- End Chart: electr_3_2_3.ewb
---- End Page: "Statistics [Analog]"

---- Page: "Oscilloscope"
---- Graph: "electr_3_2_3.ewb"
---- Left Axis: LINEAR "Voltage (A)"
7.083645729449e-008	-1.630000000000e+001
1.074774406740e-007	-1.630000000000e+001
1.678625489013e-007	-1.630000000000e+001
2.700206518692e-007	-1.630000000000e+001
4.743368578050e-007	-1.630000000000e+001
5.000010000000e-007	-1.629999999910e+001
5.000011000000e-007	-1.303999999763e+001
5.000013000000e-007	-6.519999998140e+000
5.000017000000e-007	6.520000000840e+000
5.000020000000e-007	1.629999999835e+001
5.000020800000e-007	1.630000000000e+001
5.000022400000e-007	1.630000000000e+001
5.000025600000e-007	1.630000000000e+001
5.000032000000e-007	1.630000000000e+001
5.000044800000e-007	1.630000000000e+001
5.000070400000e-007	1.630000000000e+001
5.000121600000e-007	1.630000000000e+001
5.000224000000e-007	1.630000000000e+001
5.000428800000e-007	1.630000000000e+001
5.000838400000e-007	1.630000000000e+001
5.001657600000e-007	1.630000000000e+001
5.003296000000e-007	1.630000000000e+001
5.005424024130e-007	1.630000000000e+001
5.009680072390e-007	1.630000000000e+001
5.012509919049e-007	1.630000000000e+001
5.016875448086e-007	1.630000000000e+001
5.020831357418e-007	1.630000000000e+001
5.025778870288e-007	1.630000000000e+001
5.029365863389e-007	1.630000000000e+001
5.034588106616e-007	1.630000000000e+001
5.042034817314e-007	1.630000000000e+001
5.056928238709e-007	1.630000000000e+001
5.086715081501e-007	1.630000000000e+001
5.146288767084e-007	1.630000000000e+001
5.265436138251e-007	1.630000000000e+001
5.503730880584e-007	1.630000000000e+001
5.980320365250e-007	1.630000000000e+001
6.933499334583e-007	1.630000000000e+001
8.839857273248e-007	1.630000000000e+001
1.000000000000e-006	1.630000000000e+001
1.000000100000e-006	1.304000000198e+001
1.000000300000e-006	6.519999999040e+000
1.000000700000e-006	-6.519999999940e+000
1.000001000000e-006	-1.630000000000e+001
1.000001080000e-006	-1.630000000000e+001
1.000001240000e-006	-1.630000000000e+001
1.000001560000e-006	-1.630000000000e+001
1.000002200000e-006	-1.630000000000e+001
1.000003480000e-006	-1.630000000000e+001
1.000006040000e-006	-1.630000000000e+001
1.000011160000e-006	-1.630000000000e+001
1.000021400000e-006	-1.630000000000e+001
1.000041880000e-006	-1.630000000000e+001
1.000082840000e-006	-1.630000000000e+001
1.000164760000e-006	-1.630000000000e+001
1.000309086460e-006	-1.630000000000e+001
1.000443217339e-006	-1.630000000000e+001
1.000653388390e-006	-1.630000000000e+001
1.001073730493e-006	-1.630000000000e+001
1.001433466051e-006	-1.630000000000e+001
1.001810049303e-006	-1.630000000000e+001
1.002411858014e-006	-1.630000000000e+001
1.002976069260e-006	-1.630000000000e+001
1.003911707500e-006	-1.630000000000e+001
1.005782983981e-006	-1.630000000000e+001
1.009525536942e-006	-1.630000000000e+001
1.017010642865e-006	-1.630000000000e+001
1.029538254467e-006	-1.630000000000e+001
1.044843217555e-006	-1.630000000000e+001
1.063184775263e-006	-1.630000000000e+001
1.088780417086e-006	-1.630000000000e+001
1.138476656610e-006	-1.630000000000e+001
1.237869135656e-006	-1.630000000000e+001
1.436654093750e-006	-1.630000000000e+001
1.500001000000e-006	-1.630000000000e+001
1.500001100000e-006	-1.304000000453e+001
1.500001300000e-006	-6.520000001591e+000
1.500001700000e-006	6.519999997388e+000
1.500002000000e-006	1.629999999835e+001
1.500002080000e-006	1.630000000000e+001
1.500002240000e-006	1.630000000000e+001
1.500002560000e-006	1.630000000000e+001
1.500003200000e-006	1.630000000000e+001
1.500004480000e-006	1.630000000000e+001
1.500007040000e-006	1.630000000000e+001
1.500012160000e-006	1.630000000000e+001
1.500022400000e-006	1.630000000000e+001
1.500042880000e-006	1.630000000000e+001
1.500083840000e-006	1.630000000000e+001
1.500165760000e-006	1.630000000000e+001
1.500329600000e-006	1.630000000000e+001
1.500542421794e-006	1.630000000000e+001
1.500968065381e-006	1.630000000000e+001
1.501251108452e-006	1.630000000000e+001
1.501687648706e-006	1.630000000000e+001
1.502083254944e-006	1.630000000000e+001
1.502578008169e-006	1.630000000000e+001
1.502936715968e-006	1.630000000000e+001
