---- Page: "Statistics [Analog]"
---- Chart: Electr_9_5_3.ewb
Parameter	Value
Initial TStep	0.00000
Initial TMax	0.00000
Nominal temperature	0.00000
Operating temperature	0.00000
Total iterations	0.00000
Transient iterations	0.00000
Circuit Equations	0.00000
Transient timepoints	0.00000
Accepted timepoints	0.00000
Rejected timepoints	0.00000
Total Analysis Time	0.00000
Transient time	0.00000
matrix reordering time	0.00000
L-U decomposition time	0.00000
Matrix solve time	0.00000
transient L-U decomp time	0.00000
Transient solve time	0.00000
Transient iters per point	0.00000
Load time	0.00000
---- End Chart: Electr_9_5_3.ewb
---- End Page: "Statistics [Analog]"

---- Page: "Oscilloscope"
---- Graph: "Electr_9_5_3.ewb"
---- Left Axis: LINEAR "Voltage"
2.531708053808e-003	0.000000000000e+000
2.537512234631e-003	0.000000000000e+000
2.549120596278e-003	0.000000000000e+000
2.572337319573e-003	0.000000000000e+000
2.618770766162e-003	0.000000000000e+000
2.711637659340e-003	0.000000000000e+000
2.897371445696e-003	0.000000000000e+000
3.268839018408e-003	0.000000000000e+000
4.011774163832e-003	0.000000000000e+000
4.975000000000e-003	0.000000000000e+000
4.977500000000e-003	0.000000000000e+000
4.982500000000e-003	0.000000000000e+000
4.985480620783e-003	0.000000000000e+000
4.988494570364e-003	0.000000000000e+000
4.990998781966e-003	0.000000000000e+000
4.992447547901e-003	0.000000000000e+000
4.993335097613e-003	0.000000000000e+000
4.994187364805e-003	0.000000000000e+000
4.994448445594e-003	0.000000000000e+000
4.994554660950e-003	0.000000000000e+000
4.994634512149e-003	0.000000000000e+000
4.994695356720e-003	0.000000000000e+000
4.994758641542e-003	0.000000000000e+000
4.994820197392e-003	0.000000000000e+000
4.994921799557e-003	0.000000000000e+000
4.995044642289e-003	0.000000000000e+000
4.995227855156e-003	0.000000000000e+000
4.995533778621e-003	0.000000000000e+000
4.996065579392e-003	0.000000000000e+000
4.997129180934e-003	0.000000000000e+000
4.999256384019e-003	0.000000000000e+000
5.000000000000e-003	0.000000000000e+000
5.000008980911e-003	8.980910791954e-004
5.000026942732e-003	2.694273237586e-003
5.000038467389e-003	3.846738903714e-003
5.000055797874e-003	5.579787379709e-003
5.000073878641e-003	7.387864145274e-003
5.000096853316e-003	9.685331569913e-003
5.000129886401e-003	1.298864010469e-002
5.000173982753e-003	1.739827527906e-002
5.000240757179e-003	2.407571786526e-002
5.000340592034e-003	3.405920337004e-002
5.000489305500e-003	4.893054999450e-002
5.000717981629e-003	7.179816293567e-002
5.001108786972e-003	1.108786972468e-001
5.001851975097e-003	1.851975097025e-001
5.003338351346e-003	3.338351346137e-001
5.006311103844e-003	6.311103844364e-001
5.010705282185e-003	1.070528218538e+000
5.015530536179e-003	1.553053617939e+000
5.019877383147e-003	1.987738314654e+000
5.023586936304e-003	2.358693630449e+000
5.027401046304e-003	2.740104630355e+000
5.032318941994e-003	3.231894199350e+000
5.037863930271e-003	3.786393027142e+000
5.045588845512e-003	4.558884551165e+000
5.050000000000e-003	5.000000000000e+000
5.050361764915e-003	5.000000000000e+000
5.051085294746e-003	5.000000000000e+000
5.052532354406e-003	5.000000000000e+000
5.055426473728e-003	5.000000000000e+000
5.061214712372e-003	5.000000000000e+000
5.072791189658e-003	5.000000000000e+000
5.095944144232e-003	5.000000000000e+000
5.142250053379e-003	5.000000000000e+000
5.234861871674e-003	5.000000000000e+000
5.420085508263e-003	5.000000000000e+000
5.790532781442e-003	5.000000000000e+000
6.531427327798e-003	5.000000000000e+000
7.500000000000e-003	5.000000000000e+000
7.502500000000e-003	5.000000000000e+000
7.507500000000e-003	5.000000000000e+000
7.517500000000e-003	5.000000000000e+000
7.525000000000e-003	5.000000000000e+000
7.525617600439e-003	5.000000000000e+000
7.526852801316e-003	5.000000000000e+000
7.529323203070e-003	5.000000000000e+000
7.534264006579e-003	5.000000000000e+000
7.544145613597e-003	5.000000000000e+000
7.563908827633e-003	5.000000000000e+000
7.603435255704e-003	5.000000000000e+000
7.682488111847e-003	5.000000000000e+000
7.840593824133e-003	5.000000000000e+000
8.156805248704e-003	5.000000000000e+000
8.789228097846e-003	5.000000000000e+000
9.950000000000e-003	5.000000000000e+000
9.952500000000e-003	4.750000000000e+000
9.957500000000e-003	4.250000000000e+000
9.960201598913e-003	3.979840108656e+000
9.962826598913e-003	3.717340108653e+000
9.968076598914e-003	3.192340108647e+000
9.975000000000e-003	2.500000000000e+000
9.975409405724e-003	2.459059427552e+000
9.976228217173e-003	2.377178282656e+000
9.977865840071e-003	2.213415992864e+000
9.979963698337e-003	2.003630166341e+000
9.982042953609e-003	1.795704639065e+000
9.984569327179e-003	1.543067282053e+000
9.987002058200e-003	1.299794179962e+000
9.989592606436e-003	1.040739356420e+000
9.991516278694e-003	8.483721306301e-001
