---- Page: "Statistics [Analog]"
---- Chart: Electr_9_5_3.ewb
Parameter	Value
2.527354918189e-003	0.000000000000e+000
2.528805963393e-003	0.000000000000e+000
2.531708053802e-003	0.000000000000e+000
2.537512234621e-003	0.000000000000e+000
2.549120596258e-003	0.000000000000e+000
2.572337319532e-003	0.000000000000e+000
2.618770766079e-003	0.000000000000e+000
2.711637659175e-003	0.000000000000e+000
2.897371445365e-003	0.000000000000e+000
3.268839017747e-003	0.000000000000e+000
4.011774162510e-003	0.000000000000e+000
4.975000000000e-003	0.000000000000e+000
4.977500000000e-003	0.000000000000e+000
4.982500000000e-003	0.000000000000e+000
4.985480620783e-003	0.000000000000e+000
4.988494570363e-003	0.000000000000e+000
4.990998781961e-003	0.000000000000e+000
4.992447547898e-003	0.000000000000e+000
4.993335097612e-003	0.000000000000e+000
4.994187364805e-003	0.000000000000e+000
4.994448445597e-003	0.000000000000e+000
4.994554660953e-003	0.000000000000e+000
4.994634512152e-003	0.000000000000e+000
4.994695356724e-003	0.000000000000e+000
4.994758641546e-003	0.000000000000e+000
4.994820197396e-003	0.000000000000e+000
4.994921799562e-003	0.000000000000e+000
4.995044642294e-003	0.000000000000e+000
4.995227855162e-003	0.000000000000e+000
4.995533778629e-003	0.000000000000e+000
4.996065579403e-003	0.000000000000e+000
4.997129180951e-003	0.000000000000e+000
4.999256384048e-003	0.000000000000e+000
5.000000000000e-003	0.000000000000e+000
5.000008980911e-003	8.980910621952e-004
5.000026942732e-003	2.694273186499e-003
5.000038467388e-003	3.846738830162e-003
5.000055797873e-003	5.579787277794e-003
5.000073878640e-003	7.387863999037e-003
5.000096853314e-003	9.685331374583e-003
5.000129886398e-003	1.298863979825e-002
5.000173982748e-003	1.739827475379e-002
5.000240757170e-003	2.407571696606e-002
5.000340592021e-003	3.405920209251e-002
5.000489305481e-003	4.893054805725e-002
5.000717981599e-003	7.179815989661e-002
5.001108786936e-003	1.108786935985e-001
5.001851975049e-003	1.851975048783e-001
5.003338351274e-003	3.338351274378e-001
5.006311103726e-003	6.311103725568e-001
5.010705282183e-003	1.070528218305e+000
5.015530536273e-003	1.553053627273e+000
5.019877383319e-003	1.987738331944e+000
5.023586936485e-003	2.358693648459e+000
5.027401046594e-003	2.740104659377e+000
5.032318942525e-003	3.231894252484e+000
5.037863931036e-003	3.786393103641e+000
5.045588847780e-003	4.558884777997e+000
5.050000000000e-003	5.000000000000e+000
5.050361764760e-003	5.000000000000e+000
5.051085294279e-003	5.000000000000e+000
