---- Page: "Statistics [Analog]"
---- Chart: electr_3_2_3.ewb
Parameter	Value
Initial TStep	0.00000
Initial TMax	0.00000
Nominal temperature	0.00000
Operating temperature	0.00000
Total iterations	0.00000
Transient iterations	0.00000
Circuit Equations	0.00000
Transient timepoints	0.00000
Accepted timepoints	0.00000
Rejected timepoints	0.00000
Total Analysis Time	0.00000
Transient time	0.00000
matrix reordering time	0.00000
L-U decomposition time	0.00000
Matrix solve time	0.00000
transient L-U decomp time	0.00000
Transient solve time	0.00000
Transient iters per point	0.00000
Load time	0.00000
---- End Chart: electr_3_2_3.ewb
---- End Page: "Statistics [Analog]"

---- Page: "Oscilloscope"
---- Graph: "electr_3_2_3.ewb"
---- Left Axis: LINEAR "Voltage (A)"
1.507764471992e-006	1.330000000000e+001
1.514196521812e-006	1.330000000000e+001
1.520166453459e-006	1.330000000000e+001
1.529413460864e-006	1.330000000000e+001
1.542081538854e-006	1.330000000000e+001
1.567417694836e-006	1.330000000000e+001
1.618090006798e-006	1.330000000000e+001
1.719434630723e-006	1.330000000000e+001
1.922123878573e-006	1.330000000000e+001
2.000000000000e-006	1.330000000000e+001
2.000000100000e-006	1.064000000162e+001
2.000000300000e-006	5.320000004849e+000
2.000000700000e-006	-5.319999988685e+000
2.000001000000e-006	-1.329999999510e+001
2.000001080000e-006	-1.330000000000e+001
2.000001240000e-006	-1.330000000000e+001
2.000001560000e-006	-1.330000000000e+001
2.000002200000e-006	-1.330000000000e+001
2.000003480000e-006	-1.330000000000e+001
2.000006040000e-006	-1.330000000000e+001
2.000011160000e-006	-1.330000000000e+001
2.000021400000e-006	-1.330000000000e+001
2.000041880000e-006	-1.330000000000e+001
2.000082840000e-006	-1.330000000000e+001
2.000164760000e-006	-1.330000000000e+001
2.000306844261e-006	-1.330000000000e+001
2.000449277994e-006	-1.330000000000e+001
2.000636696170e-006	-1.330000000000e+001
2.001011532522e-006	-1.330000000000e+001
2.001576640755e-006	-1.330000000000e+001
2.002224870943e-006	-1.330000000000e+001
2.002969694920e-006	-1.330000000000e+001
2.004029065843e-006	-1.330000000000e+001
2.006147807690e-006	-1.330000000000e+001
2.010385291383e-006	-1.330000000000e+001
2.014342293645e-006	-1.330000000000e+001
2.019492845367e-006	-1.330000000000e+001
2.025114344288e-006	-1.330000000000e+001
2.033911644369e-006	-1.330000000000e+001
2.044431206892e-006	-1.330000000000e+001
2.061953797390e-006	-1.330000000000e+001
2.086533545264e-006	-1.330000000000e+001
2.135693041013e-006	-1.330000000000e+001
2.234012032510e-006	-1.330000000000e+001
2.430650015503e-006	-1.330000000000e+001
2.500001000000e-006	-1.329999999645e+001
2.500001100000e-006	-1.063999999807e+001
2.500001300000e-006	-5.320000001299e+000
2.500001700000e-006	5.319999992236e+000
2.500002000000e-006	1.329999999865e+001
2.500002080000e-006	1.330000000000e+001
2.500002240000e-006	1.330000000000e+001
2.500002560000e-006	1.330000000000e+001
2.500003200000e-006	1.330000000000e+001
2.500004480000e-006	1.330000000000e+001
2.500007040000e-006	1.330000000000e+001
2.500012160000e-006	1.330000000000e+001
2.500022400000e-006	1.330000000000e+001
2.500042880000e-006	1.330000000000e+001
2.500083840000e-006	1.330000000000e+001
2.500165760000e-006	1.330000000000e+001
2.500329600000e-006	1.330000000000e+001
2.500525618501e-006	1.330000000000e+001
2.500917655502e-006	1.330000000000e+001
2.501196919331e-006	1.330000000000e+001
2.501593796374e-006	1.330000000000e+001
2.502005174749e-006	1.330000000000e+001
2.502827931498e-006	1.330000000000e+001
2.504473444996e-006	1.330000000000e+001
2.507764471992e-006	1.330000000000e+001
2.514196521812e-006	1.330000000000e+001
2.520166453459e-006	1.330000000000e+001
2.529413460866e-006	1.330000000000e+001
2.542081538859e-006	1.330000000000e+001
2.567417694846e-006	1.330000000000e+001
2.618090006820e-006	1.330000000000e+001
2.719434630768e-006	1.330000000000e+001
2.761558509431e-006	1.330000000000e+001
2.839434630768e-006	1.330000000000e+001
2.839434730768e-006	1.064000000162e+001
2.839434930768e-006	5.320000004849e+000
2.839435330768e-006	-5.319999988685e+000
2.839435630768e-006	-1.329999999510e+001
2.839435710768e-006	-1.330000000000e+001
2.839435870768e-006	-1.330000000000e+001
2.839436190768e-006	-1.330000000000e+001
2.839436830768e-006	-1.330000000000e+001
2.839438110768e-006	-1.330000000000e+001
2.839440670768e-006	-1.330000000000e+001
2.839445790768e-006	-1.330000000000e+001
2.839456030768e-006	-1.330000000000e+001
2.839476510768e-006	-1.330000000000e+001
2.839517470768e-006	-1.330000000000e+001
2.839599390768e-006	-1.330000000000e+001
2.839741475029e-006	-1.330000000000e+001
2.839883908762e-006	-1.330000000000e+001
2.840071326938e-006	-1.330000000000e+001
2.840446163290e-006	-1.330000000000e+001
2.841011271523e-006	-1.330000000000e+001
2.841659501711e-006	-1.330000000000e+001
2.842404325688e-006	-1.330000000000e+001
2.843463696611e-006	-1.330000000000e+001
2.845582438457e-006	-1.330000000000e+001
2.849819922151e-006	-1.330000000000e+001
2.853776924413e-006	-1.330000000000e+001
2.858927476135e-006	-1.330000000000e+001
2.864548975056e-006	-1.330000000000e+001
2.873346275137e-006	-1.330000000000e+001
2.883865837660e-006	-1.330000000000e+001
2.901388428158e-006	-1.330000000000e+001
2.925968176032e-006	-1.330000000000e+001
2.975127671781e-006	-1.330000000000e+001
3.073446663277e-006	-1.330000000000e+001
3.270084646271e-006	-1.330000000000e+001
3.339435630768e-006	-1.329999999645e+001
3.339435730768e-006	-1.063999999807e+001
3.339435930768e-006	-5.320000001299e+000
3.339436330768e-006	5.319999992236e+000
3.339436630768e-006	1.329999999865e+001
3.339436710768e-006	1.330000000000e+001
3.339436870768e-006	1.330000000000e+001
3.339437190768e-006	1.330000000000e+001
3.339437830768e-006	1.330000000000e+001
3.339439110768e-006	1.330000000000e+001
3.339441670768e-006	1.330000000000e+001
3.339446790768e-006	1.330000000000e+001
3.339457030768e-006	1.330000000000e+001
3.339477510768e-006	1.330000000000e+001
3.339518470768e-006	1.330000000000e+001
3.339600390768e-006	1.330000000000e+001
3.339764230768e-006	1.330000000000e+001
3.339960249268e-006	1.330000000000e+001
3.340352286270e-006	1.330000000000e+001
3.340631550099e-006	1.330000000000e+001
3.341028427142e-006	1.330000000000e+001
3.341439805516e-006	1.330000000000e+001
3.342262562265e-006	1.330000000000e+001
3.343908075763e-006	1.330000000000e+001
3.347199102760e-006	1.330000000000e+001
3.353631152580e-006	1.330000000000e+001
3.359601084227e-006	1.330000000000e+001
3.368848091634e-006	1.330000000000e+001
3.381516169627e-006	1.330000000000e+001
3.406852325614e-006	1.330000000000e+001
3.457524637588e-006	1.330000000000e+001
3.558869261536e-006	1.330000000000e+001
3.761558509431e-006	1.330000000000e+001
3.839434630768e-006	1.330000000000e+001
3.839434730768e-006	1.064000000162e+001
3.839434930768e-006	5.320000004849e+000
3.839435330768e-006	-5.319999988685e+000
3.839435630768e-006	-1.330000000000e+001
